Sales |VAN001 | |96156 |ZYTEE\ GEL_ |RAP |13081 |50 |2015-07-01
Sales |Sachin | |14028 |CA\ -500-90mg_ |FOU |1545454554 |18 |2015-11-01
Sales |VAN001 | |14028 |CA\ -500-90mg_ |FOU |1545454554 |5 |2015-11-01
Sales |VAN001 | |96155 |ZYRTEC_ |UCB |109471 |2 |2016-07-01
Sales |VAN001 | |96156 |ZYTEE\ GEL_ |RAP |13081 |1 |2015-07-01
Sales |Sachin |KRISHNAMOORTHY |14028 |CA\ -500-90mg_ |FOU |1545454554 |5 |2015-11-01
Sales | | |9873 |B\ -\ COLEX_ |TOR |1545454 |5 |2015-11-01
Sales |VAN002 |KRISHNAMOORTHY |96153 |ZYRCOF\ SYP_ |UCB |120001 |5 |2013-12-01
Sales |VAN002 |KRISHNAMOORTHY |96155 |ZYRTEC_ |UCB |109471 |5 |2016-07-01
Sales |VAN002 |KRISHNAMOORTHY |96156 |ZYTEE\ GEL_ |RAP |13081 |4 |2015-07-01
Sales |VAN002 |KRISHNAMOORTHY |14028 |CA\ -500-90mg_ |FOU |1545454554 |4 |2015-11-01
Sales |VAN002 |KRISHNAMOORTHY |14028 |CA\ -500-90mg_ |FOU |14544 |2 |2016-12-01
Sales |VAN003 | |96153 |ZYRCOF\ SYP_ |UCB |120001 |5 |2013-12-01
Sales |VAN001 | |96153 |ZYRCOF\ SYP_ |UCB |120001 |75 |2013-12-01
Sales |VAN003 | |96155 |ZYRTEC_ |UCB |109471 |10 |2016-07-01
Sales |VAN005 | |96153 |ZYRCOF\ SYP_ |UCB |120001 |8 |2013-12-01
Sales |VAN005 | |96155 |ZYRTEC_ |UCB |109471 |10 |2016-07-01
Sales |VAN005 |INDHU\ MEENA |96155 |ZYRTEC_ |UCB |109471 |18 |2016-07-01
Sales | | |7 |Accupril\ cé\ B20\ \ 5mg_ |Unk |154544 |1 |2015-12-01
Sales | | |95196 |CALPOL\ TABLET_ |GLA |RG235 |1 |2016-07-01
Sales | | |95292 |CILAMET\ XL\ 50_ |AJA |S13115E |2 |2015-04-01
Sales | | |95291 |CILAMET\ XL25_ |AJA |S13114E |5 |2015-04-01
Sales | | |95045 |ACECLO\ PLUS_ |ARI |B-375H053 |5 |2015-07-01
Sales | | |95515 |IV\ SET_ | |A29E22R23 |10 |2016-02-01
Sales | | |10052 |BACIFER-200mg_ |SYM |HJIU78 |1 |2014-04-01
Sales |Sachin | |14053 |CACIO\ -D-250mg_ |WEL |151111555 |2 |2015-12-01
Sales | | |14050 |CACEF\ SUSP-50mg_ |CAC |ACHJ890 |5 |2014-05-01
Sales |VAN003 |G.GOPINATH |96155 |ZYRTEC_ |UCB |109471 |15 |2016-07-01
Sales |VAN003 | |96156 |ZYTEE\ GEL_ |RAP |13081 |10 |2015-07-01
Sales |VAN002 | |96156 |ZYTEE\ GEL_ |RAP |13081 |5 |2015-07-01
Sales |VAN001 | |96156 |ZYTEE\ GEL_ |RAP |13081 |25 |2015-07-01
Sales |VAN001 | |96155 |ZYRTEC_ |UCB |109471 |19 |2016-07-01
Sales |Sachin | |95863 |RECOPRESS\ 250MG_ |LA |AKT3486 |15 |2014-11-01
Sales |VAN001 |G.GOPINATH |14028 |CA\ -500-90mg_ |FOU |14544 |50 |2016-12-01
Sales |Sachin | |14028 |CA\ -500-90mg_ |FOU |14544 |5 |2016-12-01
Purchase |DC0000005 |PALEPU\ PHARMA\ PVT\ LTD |20960 |CLOPIGREL-75mg_ |USV |48002731 |1 |2014-12-01 |86.47
Purchase |DC0000005 |PALEPU\ PHARMA\ PVT\ LTD |52973 |MICROCID\ SR-75mg_ |MIC |MCO47 |2 |2015-04-01 |55.42
Purchase |DC0000005 |PALEPU\ PHARMA\ PVT\ LTD |95101 |TRINERVE-LC_ |ALK |13SGCT/086 |1 |2015-02-01 |60.95
Purchase |DC0000005 |PALEPU\ PHARMA\ PVT\ LTD |81843 |SUPRADYN_ |BAY |MH1629 |1 |2015-06-01 |15.21
Purchase |DC0000007 |BHARANI\ MEDICAL\ AGENCIES |95024 |ALDEGESIC-SP_ |ALK |13T/105 |40 |2015-04-01 |18.85
Purchase |DC0000007 |BHARANI\ MEDICAL\ AGENCIES |10866 |BELLADONA\ PLATSER_ |COM |33* |10 |2016-09-01 |5.00
Purchase |DC0000007 |BHARANI\ MEDICAL\ AGENCIES |95120 |THENNA\ MARAKUDI\ OIL_50ML |K.S |S.101 |3 |2018-06-01 |30.96
Purchase |DC0000007 |BHARANI\ MEDICAL\ AGENCIES |63938 |OROGARD\ MOUTHWASH_ |ALK |E-770 |2 |2014-11-01 |26.85
Purchase |DC0000007 |BHARANI\ MEDICAL\ AGENCIES |95121 |NEVASULFI_10GM |ARC |NU0012* |5 |2015-08-01 |6.00
Purchase |DC0000008 |SHRI\ MURUGAN\ AGENCIES |65594 |PAN-40_ |ALK |3131469 |3 |2015-12-01 |55.96
Purchase |DC0000005 |PALEPU\ PHARMA\ PVT\ LTD |54130 |MONTEK-LC_ |SUN |BSM1927 |2 |2015-06-01 |74.38
Purchase |DC0000005 |PALEPU\ PHARMA\ PVT\ LTD |65595 |PAN\ -D_ |ALK |3131330 |2 |2015-06-01 |62.17
Purchase |DC0000005 |PALEPU\ PHARMA\ PVT\ LTD |22337 |COREX\ DX-50ml_ |PFI |320-13101D |1 |2014-08-01 |28.49
Purchase |DC0000005 |PALEPU\ PHARMA\ PVT\ LTD |23711 |CYSTONE_ |THE |19300562F |1 |2016-01-01 |65.01
Purchase |DC0000006 |PALANI\ MADICAL\ AGENCIES |65595 |PAN\ -D_ |ALK |3131449 |4 |2015-06-01 |62.17
Purchase |DC0000006 |PALANI\ MADICAL\ AGENCIES |14663 |CALOSOFT-10%w/w_ |MIC |C449 |2 |2016-04-01 |101.63
Purchase |DC0000006 |PALANI\ MADICAL\ AGENCIES |95122 |LACTOCALAMINE_30ML |NIC |BLC3003 |2 |2018-02-01 |39.30
Purchase |DC0000007 |BHARANI\ MEDICAL\ AGENCIES |95054 |GLUCOZONE_ |LEE |GLC-1301 |10 |2015-06-01 |52.75
Purchase |DC0000007 |BHARANI\ MEDICAL\ AGENCIES |19291 |CIPCAL-500mg_ |CIP |OZ3571 |13 |2015-04-01 |8.50
Purchase |DC0000007 |BHARANI\ MEDICAL\ AGENCIES |95043 |RINOMARK\ PLUS_ |GLE |RIN1301 |10 |2015-04-01 |75.10
Purchase |DC0000007 |BHARANI\ MEDICAL\ AGENCIES |66146 |PANTOSEC\ -D_ |CIP |ACD3093 |20 |2015-07-01 |18.50
Purchase |DC0000002 |SANGEETHA\ AGENCIES |14027 |CA\ -250-45mg_ |FOU |154545454 |15 |2015-11-01 |1.10
Purchase |DC0000002 |SANGEETHA\ AGENCIES |14027 |CA\ -250-45mg_ |FOU |154545454 |15 |2015-11-01 |1.25
Purchase |DC0000001 |GURU\ ENTERPRISES |95128 |ca_ |CAC |545454 |10 |2015-11-01 |20.00
Purchase |DC0000001 |GURU\ ENTERPRISES |71705 |RA\ -\ D-40mg,\ 10mg_ |RAX |1544 |10 |2015-11-01 |4.00
Purchase |DC0000001 |GURU\ ENTERPRISES |7 |Accupril\ cé\ B20\ \ 5mg\ _ |Unk |15111 |1 |2015-12-01 |80.00
Purchase |DC0000003 |SRI\ AYYANAR\ AGENCY |14072 |CADEC-25mg_ |ADM |1511ST |10 |2014-03-01 |60.00
Purchase |DC0000001 |GURU\ ENTERPRISES |14050 |CACEF\ SUSP-50mg_ |CAC |ACHJ890 |10 |2014-05-01 |8.00
Purchase |DC0000001 |GURU\ ENTERPRISES |10052 |BACIFER-200mg_ |SYM |HJIU78 |5 |2014-04-01 |12.00
Purchase |DC0000001 |GURU\ ENTERPRISES |14053 |CACIO\ -D-250mg_ |WEL |151111555 |10 |2015-12-01 |4.00
Purchase |DC0000001 |GURU\ ENTERPRISES |14035 |CABERLIN-0.5mg_ |SUN |AC15444 |10 |2015-12-01 |40.00
Purchase |DC0000001 |GURU\ ENTERPRISES |14028 |CA\ -500-90mg_ |FOU |ACHJS |10 |2015-12-01 |2.00
Purchase |DC0000001 |GURU\ ENTERPRISES |71723 |RABBY\ D\ TR_ |WEL |BAH890 |50 |2016-12-01 |5.00
Purchase |DC0000001 |GURU\ ENTERPRISES |56055 |NE\ -200-134mg_ |CAC |AHJ678 |50 |2015-12-01 |3.00
CustInfo |mayakrishnan |30 |Male
CustInfo |karthik |21 |Male
DoctorInfo |krishnan | |0 | | | | | | | | | |
DistInfo |powerpharmaceticals | | |0 | | |0 |chenna | | | | | | | | |
DistInfo |M.R.S.AGENCY | | |33805403279 | | |0 |SIVAGANAGAI |Tamil\ Nadu |India |630561 | | | |9159968737 | |
